Borough,FIPS,code,name,total_population,White,African_American,American_Indian,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Other,Two_or_More_Races,Hispanic_Origin
Bronx,005,BX01,Claremont-Bathgate,31078,370,13036,82,108,7,60,221,17194
Bronx,005,BX03,Eastchester-Edenwald-Baychester,34517,1111,24381,147,232,10,148,509,7979
Bronx,005,BX05,Bedford-Park-Fordham-North,54415,3637,9805,145,2727,29,490,623,36959
Bronx,005,BX06,Belmont,27378,5381,5059,38,620,18,84,249,15929
Bronx,005,BX07,Bronxdale,35538,5559,10594,102,1404,9,169,430,17271
Bronx,005,BX08,West-Farms-Bronx-River,35011,878,9312,121,1136,10,743,482,22329
Bronx,005,BX09,Soundview-Castle-Hill-Clason-Point-Harding-Park,53686,1067,19876,161,709,22,239,586,31026
Bronx,005,BX10,Pelham-Bay-Country-Club-City-Island,26583,16488,773,36,969,5,110,252,7950
Bronx,005,BX13,Co-Op-City,43752,3723,26452,108,522,7,125,681,12134
Bronx,005,BX14,East-Concourse-Concourse-Village,62284,971,24233,138,928,11,243,626,35134
Bronx,005,BX17,East-Tremont,43423,627,12750,110,229,4,150,333,29220
Bronx,005,BX22,North-Riverdale-Fieldston-Riverdale,27860,18794,2136,26,1468,4,91,446,4895
Bronx,005,BX26,Highbridge,37727,462,12397,69,176,2,103,253,24265
Bronx,005,BX27,Hunts-Point,27204,342,6049,65,187,1,63,192,20305
Bronx,005,BX28,Van-Cortlandt-Village,50100,6087,8498,93,2386,7,259,479,32291
Bronx,005,BX29,Spuyten-Duyvil-Kingsbridge,30161,14872,2691,40,1731,15,98,510,10204
Bronx,005,BX30,Kingsbridge-Heights,32496,1389,6004,46,1514,2,124,322,23095
Bronx,005,BX31,Allerton-Pelham-Gardens,28903,7316,9391,55,2282,12,252,412,9183
Bronx,005,BX33,Longwood,26196,382,5866,32,135,9,78,163,19531
Bronx,005,BX34,Melrose-South-Mott-Haven-North,39214,571,10787,84,314,11,93,260,27094
Bronx,005,BX35,Morrisania-Melrose,37865,523,14531,94,205,11,127,339,22035
